Path,CUSUM_n,Adaptive_CUSUM_n,Mean_CUSUM_time_s,Mean_Adaptive_CUSUM_time_s,Mean_time_saved_s,Speedup_factor,Percent_faster
straight spoofed 25,25,25,2.3652,4.2924,-1.9272,0.551020408163265,-81.4814814814815
turns spoofed 100,25,25,5.226,4.6672,0.558800000000002,1.11972917380871,10.692690394183
turns spoofed 140,25,25,23.0556,12.8944,10.1612,1.78803201389751,44.072589739586
turns spoofed 275,25,24,12.6048,11.31375,1.29105,1.11411335764004,10.2425266565118
blind spoofed 65,25,25,5.2036,3.9032,1.3004,1.33316253330601,24.990391267584
blind spoofed 160,25,25,7.9372,7.3256,0.611600000000003,1.08348804193513,7.70548808143933
