run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,null,28.97,11.81
2,null,28.77,11.09
3,null,22.82,11.43
4,null,23.76,11.69
5,null,23.30,22.38
6,null,11.84,10.71
7,null,8.86,8.47
8,35.21,11.48,11.28
9,null,10.73,9.58
10,40.86,23.93,11.39
11,null,28.67,22.89
12,null,28.82,11.19
13,null,28.70,11.57
14,null,22.72,11.86
15,null,28.77,11.91
16,null,28.79,11.27
17,null,23.04,21.85
18,null,10.88,10.09
19,null,23.89,11.39
20,null,23.65,22.56
21,null,28.72,11.92
22,null,29.07,11.02
23,null,23.56,10.39
24,null,28.78,11.72
25,null,23.87,10.90
