run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,8.26,2.45,4.07
2,8.06,2.41,4.00
3,7.21,2.96,4.64
4,8.27,2.66,4.84
5,7.91,2.14,4.35
6,8.20,2.29,3.97
7,9.46,2.83,4.48
8,9.00,2.43,4.68
9,8.53,3.19,4.84
10,8.35,2.21,4.48
11,8.27,2.49,4.37
12,6.13,2.21,3.33
13,10.99,2.55,4.59
14,8.13,1.72,4.16
15,10.09,2.41,4.32
16,8.02,2.54,4.42
17,7.98,1.77,3.92
18,8.63,2.29,3.84
19,8.47,2.47,4.51
20,6.58,1.93,4.01
21,8.03,1.73,3.85
22,8.72,1.98,4.30
23,8.08,2.27,4.38
24,8.90,2.49,4.41
25,6.20,2.71,4.55
