run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,15.63,8.37,8.37
2,19.72,15.20,13.22
3,18.20,14.86,12.98
4,18.30,14.74,12.62
5,18.45,15.15,13.20
6,11.23,8.36,8.36
7,17.61,10.51,9.95
8,15.15,12.51,11.06
9,20.09,15.40,12.79
10,18.29,13.44,11.43
11,15.70,13.23,11.54
12,15.55,8.03,8.03
13,15.35,15.15,12.81
14,11.84,10.29,9.92
15,19.68,15.42,13.54
16,15.42,15.22,12.25
17,28.97,8.38,8.38
18,17.73,11.26,10.50
19,null,13.52,12.20
20,null,14.66,12.25
21,null,15.41,12.67
22,20.63,14.50,12.08
23,10.23,8.12,8.12
24,16.93,8.05,null
25,15.73,15.34,13.26
