run_num,SSDGOF_time,CUSUM_time,adapt_CUSUM_time
1,null,9.15,8.45
2,null,6.78,6.25
3,null,7.76,7.17
4,null,8.52,8.12
5,null,7.14,6.78
6,null,7.38,6.79
7,null,9.40,8.45
8,null,6.00,6.00
9,null,5.85,5.85
10,null,7.45,6.69
11,null,8.76,8.00
12,null,8.52,7.46
13,null,8.76,7.84
14,null,7.28,6.69
15,null,7.51,7.14
16,null,7.27,6.88
17,null,5.93,5.93
18,null,8.43,7.54
19,null,9.75,8.63
20,null,9.34,8.41
21,null,7.22,7.02
22,null,8.36,7.80
23,null,8.77,8.01
24,null,8.49,7.76
25,null,8.61,7.48
