0.000000,0.000000,0.000000,0.000000
0.000000,0.033317,2.029501,0.000000
0.000000,0.013775,2.024852,2.029501
0.016771,0.054035,2.004756,2.024852
0.023139,0.043341,1.991747,2.004756
0.029801,0.050092,1.992013,1.991747
0.000000,0.033344,2.004011,1.992013
0.000000,0.022000,2.015003,2.004011
0.000000,0.039670,2.021358,2.015003
0.021718,0.047924,2.017422,2.021358
0.000000,0.040866,2.014452,2.017422
0.000000,0.017246,2.012127,2.014452
0.000000,0.023132,2.010953,2.012127
0.000000,0.047017,2.010505,2.010953
0.022270,0.052015,2.009402,2.010505
0.016951,0.022995,2.007733,2.009402
0.000000,0.021705,2.006012,2.007733
0.000000,0.017083,2.003515,2.006012
0.000000,0.048558,2.001325,2.003515
0.048690,0.052738,1.991940,2.001325
0.038990,0.040440,1.990787,1.991940
0.049039,0.026174,1.994110,1.990787
0.046506,0.021089,1.998655,1.994110
0.065713,0.033077,2.001355,1.998655
0.077740,0.057776,2.001306,2.001355
0.067853,0.020340,2.000360,2.001306
0.081421,0.048095,1.999988,2.000360
0.099759,0.011359,2.001419,1.999988
0.101535,0.054335,2.004437,2.001419
0.091681,0.043258,2.007174,2.004437
0.071233,0.058147,2.008248,2.007174
0.070748,0.053673,2.008878,2.008248
0.082870,0.031184,2.008561,2.008878
0.062503,0.038570,2.007624,2.008561
0.053909,0.042707,2.005479,2.007624
0.068718,0.044229,2.002444,2.005479
0.066152,0.060218,2.000501,2.002444
0.054705,0.069340,1.999456,2.000501
0.057651,0.009904,1.999521,1.999456
0.036375,0.015228,1.997858,1.999521
0.171911,0.048205,1.962852,1.997858
0.163090,0.062659,1.925899,1.962852
0.119618,0.162175,1.870959,1.925899
0.064482,0.214011,1.774557,1.870959
0.169420,0.334142,1.677260,1.774557
0.301376,0.474630,1.581995,1.677260
0.514602,0.491911,1.487247,1.581995
0.474410,0.574240,1.411742,1.487247
0.511940,0.707466,1.326381,1.411742
0.624118,0.642855,1.194687,1.326381
0.531439,0.743803,1.059022,1.194687
0.611396,0.953828,0.904112,1.059022
0.679419,0.783307,0.720514,0.904112
0.858475,0.824234,0.583473,0.720514
1.143454,0.955527,0.461469,0.583473
0.983335,0.771422,0.345428,0.461469
1.026445,0.847691,0.268358,0.345428
0.857747,0.957772,0.205718,0.268358
0.905123,0.756277,0.153057,0.205718
0.768009,0.969464,0.123512,0.153057
0.867202,0.921014,0.099604,0.123512
0.815442,0.817117,0.086988,0.099604
0.726820,0.916940,0.083444,0.086988
0.866479,0.787169,0.083854,0.083444
0.709121,0.809368,0.084325,0.083854
0.730787,0.994896,0.082271,0.084325
0.977559,0.811777,0.077187,0.082271
0.806045,0.817618,0.073349,0.077187
0.819268,0.953186,0.071632,0.073349
1.002465,0.795256,0.077792,0.071632
0.780195,0.824054,0.087883,0.077792
0.791902,1.013092,0.096388,0.087883
0.994073,0.853808,0.095341,0.096388
0.800928,0.924698,0.083038,0.095341
0.957900,1.031361,0.067444,0.083038
1.009197,0.921730,0.061208,0.067444
0.814196,0.913596,0.061965,0.061208
0.872334,1.116350,0.059444,0.061965
1.022034,0.917166,0.053162,0.059444
0.809246,0.966186,0.049377,0.053162
0.809570,1.098698,0.049054,0.049377
1.003899,0.897955,0.051102,0.049054
0.790497,0.901090,0.052078,0.051102
0.791556,1.031592,0.052045,0.052078
0.978337,0.861165,0.051338,0.052045
0.771932,0.898555,0.051124,0.051338
0.766059,1.036601,0.052132,0.051124
0.934417,0.894510,0.055551,0.052132
0.740309,0.878275,0.060147,0.055551
0.873636,1.031039,0.066578,0.060147
0.912745,0.814848,0.076495,0.066578
0.731036,0.870640,0.086896,0.076495
0.779295,1.008093,0.100583,0.086896
0.905504,1.020349,0.122346,0.100583
0.910074,0.985173,0.153066,0.122346
0.874798,0.816031,0.184279,0.153066
0.772050,0.843410,0.202040,0.184279
0.734251,0.994104,0.206196,0.202040
0.909638,0.842430,0.190233,0.206196
0.711268,0.834741,0.160475,0.190233
0.705095,0.959191,0.117940,0.160475
0.886219,0.869233,0.068230,0.117940
0.690127,0.855110,0.052978,0.068230
0.688129,0.980401,0.063179,0.052978
0.872115,0.803802,0.068533,0.063179
0.698599,0.851337,0.061182,0.068533
0.846534,0.998393,0.054321,0.061182
0.761774,0.822658,0.057348,0.054321
0.844061,0.830248,0.063963,0.057348
0.756144,0.995144,0.068887,0.063963
0.850091,0.827882,0.070186,0.068887
0.762128,0.844006,0.068938,0.070186
0.727083,0.962820,0.067469,0.068938
0.901284,0.791658,0.067273,0.067469
0.722122,0.852189,0.068956,0.067273
0.729531,0.980073,0.073202,0.068956
0.911780,0.862642,0.082477,0.073202
0.733201,0.850318,0.094059,0.082477
0.744348,0.983182,0.110489,0.094059
0.944083,0.839591,0.137390,0.110489
0.777012,0.976834,0.162106,0.137390
0.963877,0.981285,0.183931,0.162106
0.934207,0.869529,0.186781,0.183931
0.742539,0.963760,0.171117,0.186781
0.937759,0.812704,0.133064,0.171117
0.741149,0.847285,0.091220,0.133064
0.850993,0.981954,0.056729,0.091220
0.883717,0.826930,0.054052,0.056729
0.734685,0.996798,0.062663,0.054052
0.921095,0.987673,0.059370,0.062663
0.916071,0.841155,0.051207,0.059370
0.774442,0.955589,0.053736,0.051207
0.843838,0.812301,0.063326,0.053736
0.750047,0.851581,0.069215,0.063326
0.716783,0.975815,0.070995,0.069215
0.902490,0.820459,0.069457,0.070995
0.737670,0.879505,0.067721,0.069457
0.740713,0.991171,0.066867,0.067721
0.929093,0.841232,0.068023,0.066867
0.748300,0.880722,0.071293,0.068023
0.747636,0.969929,0.077289,0.071293
0.934465,0.817288,0.088503,0.077289
0.744396,0.868492,0.102112,0.088503
0.875173,0.957420,0.121655,0.102112
0.780563,0.810883,0.151463,0.121655
0.850410,0.849943,0.174949,0.151463
0.755931,1.028727,0.189398,0.174949
0.842028,0.819124,0.187414,0.189398
0.757658,0.831832,0.168311,0.187414
0.713769,0.983983,0.133829,0.168311
0.851947,0.811808,0.083143,0.133829
0.678854,0.828299,0.053798,0.083143
0.676322,0.995218,0.055809,0.053798
0.842149,0.815751,0.066411,0.055809
0.688833,0.830928,0.063750,0.066411
0.705733,0.949258,0.055612,0.063750
0.902056,0.821170,0.054814,0.055612
