0.0240059,0.0308593,2.0381,0,33596000
0.0295784,0.0146731,2.04136,2.0381,33796000
0.0220956,0.0515863,2.05469,2.04136,33992000
0.0179043,0,2.09342,2.05469,34688000
0.0213866,0,2.09176,2.09342,34884000
0.0191991,0.0457652,2.07279,2.09176,37028000
0.0280357,0.0326644,2.06827,2.07279,37196000
0.0295077,0,2.06642,2.06827,37392000
0.0457365,0.00280741,2.06766,2.06642,37556000
0.0536638,0.0354487,2.07012,2.06766,37724000
0.0431589,0.0160196,2.07275,2.07012,37920000
0.0405108,0.00952906,2.07391,2.07275,38084000
0.0690205,0.0560386,2.07435,2.07391,38284000
0.0717077,0.0221364,2.07493,2.07435,38480000
0.0597893,0.0588489,2.07586,2.07493,38648000
0.0707989,0.0217056,2.0766,2.07586,38844000
0.0804518,0.0235844,2.07685,2.0766,39044000
0.0871141,0.0191879,2.07764,2.07685,39240000
0.0838133,0.0566187,2.07914,2.07764,39440000
0.0613133,0.00972257,2.08184,2.07914,39636000
0.0655535,0.0581672,2.0832,2.08184,39800000
0.0409041,0.0383043,2.08218,2.0832,39968000
0.0364186,0.0472544,2.07885,2.08218,40164000
0.0236372,0.0201059,2.07642,2.07885,40328000
0.0258834,0.03433,2.07556,2.07642,40496000
0.0440849,0.019988,2.07648,2.07556,40692000
0.0308338,0.0493538,2.07807,2.07648,40892000
0.0438031,0,2.07907,2.07807,41088000
0.0851991,0.0523657,2.07466,2.07907,41292000
0.161049,0.0423012,2.05705,2.07466,41484000
0.180892,0.106886,2.02303,2.05705,41648000
0.163457,0.2051,1.93852,2.02303,41848000
0.0381494,0.256912,1.8031,1.93852,42044000
0.239064,0.428303,1.66827,1.8031,42212000
0.519176,0.532536,1.55883,1.66827,42408000
0.621126,0.62085,1.49752,1.55883,42608000
0.717938,0.53968,1.44612,1.49752,42804000
0.514739,0.664457,1.37542,1.44612,42968000
0.487619,0.849846,1.26606,1.37542,43140000
0.746651,0.744897,1.09231,1.26606,43332000
0.710428,1.00057,0.923763,1.09231,43496000
0.579337,0.969516,0.725309,0.923763,43696000
0.817719,0.824505,0.555092,0.725309,43892000
0.866423,0.962928,0.431743,0.555092,44060000
1.06779,0.959022,0.31715,0.431743,44256000
1.03023,0.932318,0.229211,0.31715,44456000
0.961037,0.923574,0.165787,0.229211,44652000
0.875532,0.948837,0.125323,0.165787,44852000
0.826088,0.785888,0.104914,0.125323,45048000
0.656719,0.79989,0.0963015,0.104914,45212000
0.652475,0.91372,0.0911756,0.0963015,45380000
0.835558,0.759611,0.086873,0.0911756,45576000
0.697795,0.958141,0.0846563,0.086873,45740000
0.903089,0.97906,0.0779439,0.0846563,45940000
0.95296,0.982376,0.0679055,0.0779439,46136000
0.984081,0.977826,0.0579308,0.0679055,46336000
0.998224,0.825036,0.0536717,0.0579308,46532000
0.948734,0.952995,0.0545554,0.0536717,46700000
0.832998,1.01025,0.0563089,0.0545554,46900000
0.976315,0.95237,0.0586532,0.0563089,47096000
0.987812,0.993575,0.060635,0.0586532,47292000
0.983612,0.959408,0.0617935,0.060635,47492000
0.985544,0.999213,0.0624143,0.0617935,47688000
0.985739,0.951491,0.0626268,0.0624143,47888000
0.982186,1.02662,0.0612274,0.0626268,48084000
0.987414,0.979966,0.0590428,0.0612274,48284000
0.984418,0.819024,0.0563277,0.0590428,48480000
0.799706,0.847168,0.0546418,0.0563277,48644000
0.807657,0.964128,0.0534986,0.0546418,48812000
0.994595,0.852722,0.0533321,0.0534986,49008000
0.798387,0.818152,0.0540748,0.0533321,49172000
0.794202,0.965205,0.0555114,0.0540748,49340000
0.979296,0.829505,0.0570772,0.0555114,49536000
0.778834,0.845727,0.0578591,0.0570772,49700000
0.92555,0.964224,0.0588083,0.0578591,49868000
0.829267,0.82657,0.059479,0.0588083,50064000
0.926646,0.975419,0.0595853,0.059479,50228000
0.978574,0.956703,0.03242,0.0595853,50428000
0.909287,0.828215,0.0413815,0.03242,50624000
1.0748,0.933657,0.0952489,0.0413815,50792000
1.09467,0.766841,0.121271,0.0952489,50988000
0.796972,0.705417,0.126867,0.121271,51152000
0.743769,0.762066,0.125196,0.126867,51320000
0.769724,0.693325,0.117999,0.125196,51516000
0.664975,0.60841,0.108182,0.117999,51716000
0.627334,0.512278,0.0979811,0.108182,51912000
0.464835,0.492166,0.0907351,0.0979811,52076000
0.455259,0.520513,0.0851982,0.0907351,52244000
0.47119,0.401995,0.0816006,0.0851982,52440000
0.379534,0.397323,0.080389,0.0816006,52604000
0.374771,0.419418,0.0781513,0.080389,52772000
0.377085,0.354813,0.0485396,0.0781513,52968000
0.261463,0.300387,0.0507224,0.0485396,53168000
0.354135,0.283701,0.120981,0.0507224,53364000
0.404097,0.30986,0.201725,0.120981,53528000
0.496902,0.269425,0.291771,0.201725,53732000
0.365209,0.207699,0.313791,0.291771,53924000
0.279283,0.304727,0.280014,0.313791,54092000
0.482978,0.263334,0.253615,0.280014,54288000
0.448081,0.296364,0.309733,0.253615,54452000
0.375487,0.414192,0.407357,0.309733,54620000
0.315125,0.40897,0.548543,0.407357,54816000
0.341972,0.524588,0.704995,0.548543,55016000
0.506576,0.523672,0.855539,0.704995,55212000
0.565937,0.627254,0.980141,0.855539,55376000
0.818429,0.803753,1.09973,0.980141,55544000
0.909195,0.707025,1.22037,1.09973,55740000
1.10346,0.796124,1.30182,1.22037,55904000
1.09711,0.935208,1.36934,1.30182,56072000
1.04697,0.969175,1.43134,1.36934,56268000
0.925346,0.935998,1.48165,1.43134,56468000
0.703386,0.925804,1.52192,1.48165,56664000
0.939425,0.913933,1.55678,1.52192,56864000
0.698864,0.767179,1.58022,1.55678,57060000
0.804772,0.934075,1.59108,1.58022,57224000
0.880929,0.930041,1.59178,1.59108,57424000
0.770413,0.793602,1.58093,1.59178,57620000
0.887321,0.93967,1.56804,1.58093,57788000
0.963514,0.797204,1.55532,1.56804,57984000
0.784306,0.980968,1.54919,1.55532,58148000
0.983634,0.975245,1.54755,1.54919,58348000
0.983835,1.00007,1.55024,1.54755,58544000
0.995561,0.962031,1.55477,1.55024,58744000
0.851065,0.856429,1.55871,1.55477,58940000
0.952791,0.961221,1.56076,1.55871,59108000
0.996295,0.804572,1.56162,1.56076,59304000
0.790203,0.844784,1.56135,1.56162,59468000
0.851875,0.984514,1.56052,1.56135,59636000
1.01444,0.992414,1.5595,1.56052,59832000
1.01824,0.968443,1.55856,1.5595,60032000
0.969944,0.81516,1.55797,1.55856,60228000
0.861374,0.987892,1.55775,1.55797,60392000
1.00727,0.98698,1.55757,1.55775,60592000
0.953565,0.982269,1.55753,1.55757,60788000
1.00197,0.980588,1.55755,1.55753,60988000
1.00546,0.820438,1.5577,1.55755,61184000
0.846061,1.00062,1.55794,1.5577,61352000
0.957856,0.999354,1.55838,1.55794,61548000
1.00752,1.00429,1.55922,1.55838,61748000
0.999886,0.800019,1.56012,1.55922,61944000
0.793647,0.990803,1.56075,1.56012,62108000
0.986645,0.991731,1.56129,1.56075,62308000
0.992079,0.821738,1.5616,1.56129,62504000
0.857886,1.00913,1.56122,1.5616,62672000
1.00695,0.9715,1.56109,1.56122,62868000
1.17217,0.948874,1.56394,1.56109,63068000
1.12272,0.744817,1.5659,1.56394,63264000
0.789734,0.827754,1.56624,1.5659,63428000
0.857618,0.771774,1.56597,1.56624,63628000
0.767258,0.597093,1.56586,1.56597,63824000
0.59173,0.673533,1.56623,1.56586,63992000
0.600615,0.501653,1.56739,1.56623,64188000
0.494315,0.489402,1.56911,1.56739,64352000
0.43348,0.497516,1.57154,1.56911,64520000
0.497841,0.400235,1.5752,1.57154,64716000
0.372735,0.434043,1.57859,1.5752,64880000
0.434272,0.385408,1.58198,1.57859,65080000
0.331748,0.354845,1.58367,1.58198,65276000
0.250954,0.359604,1.58425,1.58367,65476000
0.401336,0.378197,1.57686,1.58425,65672000
0.496873,0.293697,1.55835,1.57686,65872000
0.55327,0.255897,1.52312,1.55835,66068000
0.366655,0.326765,1.4703,1.52312,66236000
0.384752,0.357389,1.39231,1.4703,66432000
0.341581,0.38767,1.29676,1.39231,66632000
0.248071,0.321618,1.19674,1.29676,66828000
0.10353,0.371853,1.11273,1.19674,66992000
0.0843661,0.564271,1.01905,1.11273,67160000
0.199078,0.513105,0.885344,1.01905,67356000
0.35641,0.745203,0.760308,0.885344,67520000
0.649636,0.867348,0.591353,0.760308,67720000
0.903261,0.823159,0.431711,0.591353,67916000
0.791134,1.01273,0.317522,0.431711,68084000
1.0846,1.06565,0.207911,0.317522,68280000
1.13841,1.07195,0.133489,0.207911,68480000
1.02146,1.06803,0.0816491,0.133489,68676000
0.925744,1.01554,0.0502813,0.0816491,68876000
0.83817,0.835201,0.0483445,0.0502813,69072000
0.652993,1.00593,0.0598078,0.0483445,69236000
0.806013,0.986777,0.0730323,0.0598078,69436000
0.819419,0.85048,0.0794236,0.0730323,69632000
0.680863,1.01049,0.0802873,0.0794236,69800000
0.881423,1.02777,0.0782013,0.0802873,69996000
0.932546,1.00708,0.0745508,0.0782013,70196000
0.9517,0.833467,0.0701582,0.0745508,70392000
0.772282,0.892332,0.0656563,0.0701582,70556000
0.778923,1.02512,0.0610736,0.0656563,70724000
0.977214,1.05848,0.0562153,0.0610736,70920000
0.975431,1.05818,0.0533237,0.0562153,71120000
0.921109,0.834882,0.0520047,0.0533237,71316000
0.816875,1.01648,0.0511683,0.0520047,71480000
0.955384,1.03219,0.0494976,0.0511683,71680000
0.90208,0.85746,0.0471753,0.0494976,71876000
0.806589,1.0154,0.0452839,0.0471753,72044000
0.943991,0.848671,0.0437574,0.0452839,72240000
0.754438,0.826695,0.0438513,0.0437574,72404000
0.74357,1.01746,0.044562,0.0438513,72572000
0.914712,1.04011,0.0457073,0.044562,72768000
0.91384,1.01401,0.0485866,0.0457073,72968000
0.905095,1.04579,0.0498979,0.0485866,73164000
0.913492,0.976344,0.0495393,0.0498979,73364000
0.869911,1.03187,0.0508619,0.0495393,73560000
0.908519,0.986141,0.0506425,0.0508619,73760000
0.773674,1.00584,0.0501208,0.0506425,73956000
0.902038,0.993308,0.0494965,0.0501208,74156000
0.914859,0.840719,0.0494542,0.0494965,74352000
0.734554,0.854564,0.0500737,0.0494542,74516000
0.871081,1.00896,0.0506554,0.0500737,74684000
0.924196,0.801322,0.0267545,0.0506554,74880000
0.778888,0.831721,0.04699,0.0267545,75044000
0.92399,0.957097,0.112138,0.04699,75212000
1.07694,0.889288,0.146327,0.112138,75408000
0.893746,0.780082,0.152032,0.146327,75608000
0.726262,0.606554,0.146595,0.152032,75804000
0.560786,0.715086,0.138732,0.146595,75968000
0.544194,0.591178,0.129826,0.138732,76168000
0.497538,0.509365,0.124371,0.129826,76364000
0.442524,0.495559,0.124598,0.124371,76564000
0.342304,0.38954,0.130152,0.124598,76760000
0.365372,0.382902,0.140143,0.130152,76928000
0.337897,0.321586,0.155824,0.140143,77124000
0.251978,0.281124,0.167189,0.155824,77288000
0.200677,0.278383,0.188774,0.167189,77456000
0.312555,0.195832,0.232141,0.188774,77652000
0.315119,0.218653,0.280361,0.232141,77816000
0.347166,0.221231,0.320298,0.280361,77992000
0.252688,0.247347,0.306251,0.320298,78180000
0.344786,0.28884,0.224789,0.306251,78380000
0.51304,0.262559,0.112613,0.224789,78576000
0.535998,0.298231,0.103436,0.112613,78740000
0.567778,0.384138,0.188816,0.103436,78908000
0.394031,0.347828,0.325419,0.188816,79104000
0.347526,0.474825,0.442191,0.325419,79268000
0.305573,0.567355,0.571313,0.442191,79472000
0.476011,0.717692,0.700498,0.571313,79664000
0.73673,0.821736,0.835036,0.700498,79864000
0.963158,0.945994,0.976861,0.835036,80060000
1.11521,0.98435,1.11576,0.976861,80260000
1.19123,0.845937,1.22972,1.11576,80456000
0.912379,0.989767,1.31295,1.22972,80624000
0.986913,0.811753,1.38726,1.31295,80820000
0.849081,1.0045,1.43861,1.38726,80984000
0.862755,0.948742,1.49175,1.43861,81184000
0.689014,0.830829,1.53447,1.49175,81380000
0.774107,0.977656,1.56319,1.53447,81548000
0.824476,1.00961,1.58614,1.56319,81744000
0.87415,0.989782,1.59676,1.58614,81944000
0.771631,1.03776,1.59372,1.59676,82140000
0.923153,1.03164,1.58039,1.59372,82340000
0.961731,0.837251,1.56545,1.58039,82536000
0.769803,1.08797,1.55543,1.56545,82700000
0.970459,1.013,1.54944,1.55543,82900000
0.965662,0.879908,1.54972,1.54944,83096000
0.918568,1.03036,1.55317,1.54972,83264000
0.835046,1.04816,1.55845,1.55317,83460000
0.983227,1.02637,1.56292,1.55845,83660000
0.972814,1.0377,1.56552,1.56292,83856000
0.963647,1.0148,1.56644,1.56552,84056000
0.948807,0.847319,1.5664,1.56644,84252000
0.748561,0.864082,1.56638,1.5664,84416000
0.902108,1.00747,1.56661,1.56638,84584000
0.800187,1.00197,1.56747,1.56661,84780000
0.934752,0.985612,1.56895,1.56747,84980000
0.928269,0.856802,1.57091,1.56895,85176000
0.743169,0.861794,1.57255,1.57091,85340000
0.890303,0.9834,1.57417,1.57255,85508000
0.797103,0.794739,1.57578,1.57417,85704000
0.887689,0.999049,1.57702,1.57578,85868000
0.931568,1.01227,1.57856,1.57702,86068000
0.789303,0.839494,1.58036,1.57856,86264000
0.87846,0.984269,1.58243,1.58036,86432000
0.775937,1.01996,1.58587,1.58243,86628000
1.05209,0.96329,1.58968,1.58587,86828000
0.991714,0.99372,1.59591,1.58968,87024000
0.925316,0.931183,1.60476,1.59591,87224000
1.14091,0.882562,1.61169,1.60476,87420000
0.841065,0.760038,1.61795,1.61169,87620000
0.623819,0.60486,1.62473,1.61795,87816000
0.618874,0.564217,1.63149,1.62473,87980000
0.475081,0.612421,1.63965,1.63149,88148000
0.466009,0.441718,1.65055,1.63965,88344000
0.38859,0.464341,1.66047,1.65055,88508000
0.343065,0.448984,1.67108,1.66047,88676000
0.377402,0.416328,1.68359,1.67108,88872000
0.352308,0.380571,1.69728,1.68359,89072000
0.320318,0.287895,1.71162,1.69728,89268000
0.226286,0.278211,1.72446,1.71162,89432000
0.248579,0.323045,1.73497,1.72446,89600000
0.423505,0.230305,1.73628,1.73497,89796000
0.347918,0.223715,1.7249,1.73628,89960000
0.395114,0.241674,1.68686,1.7249,90160000
0.292373,0.183002,1.62846,1.68686,90356000
0.308772,0.282969,1.56569,1.62846,90524000
0.531401,0.278479,1.4782,1.56569,90720000
0.333931,0.302819,1.39646,1.4782,90884000
0.26106,0.387273,1.31143,1.39646,91052000
0.262473,0.378524,1.21384,1.31143,91248000
0.273467,0.594618,1.11727,1.21384,91412000
0.459414,0.739453,0.975551,1.11727,91612000
0.739782,0.806125,0.799755,0.975551,91808000
1.11127,0.927237,0.61503,0.799755,92008000
1.33571,1.0266,0.450399,0.61503,92204000
1.41012,1.03933,0.319236,0.450399,92404000
1.36759,0.910589,0.227422,0.319236,92600000
0.968296,1.03165,0.166,0.227422,92768000
1.06735,0.794754,0.110537,0.166,92964000
0.777626,1.02357,0.0787162,0.110537,93128000
0.875516,0.975614,0.0631934,0.0787162,93328000
0.861828,0.981571,0.0693321,0.0631934,93524000
0.857502,1.02694,0.0803082,0.0693321,93724000
0.858984,0.861682,0.085048,0.0803082,93920000
0.707062,1.0006,0.082627,0.085048,94088000
0.932249,0.847114,0.0759696,0.082627,94284000
0.774275,1.03955,0.0704643,0.0759696,94448000
0.990696,1.0295,0.0643958,0.0704643,94648000
0.962109,1.05929,0.058648,0.0643958,94844000
0.944346,1.01466,0.0523542,0.058648,95044000
0.984523,1.06076,0.0467904,0.0523542,95240000
0.979342,1.08663,0.0437412,0.0467904,95440000
0.954076,0.85989,0.0414554,0.0437412,95636000
0.758617,1.04619,0.0395424,0.0414554,95804000
0.946995,1.03224,0.0372259,0.0395424,96000000
0.933758,0.993108,0.035596,0.0372259,96200000
0.927176,0.846961,0.0352799,0.035596,96396000
0.74041,0.869821,0.0359336,0.0352799,96560000
0.732663,1.00406,0.0366796,0.0359336,96728000
0.913875,1.04865,0.0377499,0.0366796,96924000
0.905235,0.991184,0.0400773,0.0377499,97124000
0.891378,0.808169,0.0416634,0.0400773,97320000
0.711065,0.997145,0.043156,0.0416634,97484000
0.882521,0.984441,0.0453584,0.043156,97684000
0.886366,0.858659,0.0474233,0.0453584,97880000
0.713772,0.983798,0.0480411,0.0474233,98048000
0.893175,1.00262,0.0490169,0.0480411,98244000
0.887484,0.95766,0.0491726,0.0490169,98444000
0.898388,0.850438,0.0490269,0.0491726,98640000
0.717849,0.831329,0.0380495,0.0490269,98804000
0.7542,0.95039,0.022131,0.0380495,98972000
1.07239,0.80501,0.0909006,0.022131,99168000
0.85412,0.78681,0.12644,0.0909006,99332000
0.808069,0.850765,0.139206,0.12644,99500000
0.840427,0.64178,0.14008,0.139206,99696000
0.584322,0.573276,0.135017,0.14008,99860000
0.507832,0.679644,0.128199,0.135017,100028000
0.554862,0.470361,0.121172,0.128199,100224000
0.409176,0.476339,0.117588,0.121172,100388000
0.458481,0.48934,0.116874,0.117588,100556000
0.434143,0.440884,0.120613,0.116874,100752000
0.402499,0.390835,0.129259,0.120613,100952000
0.316301,0.310816,0.141984,0.129259,101148000
