0.0236463,0.032409,1.18885,0,47888000,0
0.0399048,0.0519949,1.08293,1.18885,48084000,0
0.0320103,0.065606,1.22536,1.08293,48248000,0.0915129
0.0320323,0.0538904,1.45328,1.22536,48448000,0.0967193
0.0212153,0.0295392,1.62105,1.45328,48644000,0.0967193
0.0213633,0.0323942,1.73178,1.62105,49040000,0.0967193
0.0379734,0.0393865,1.69601,1.73178,49240000,0.0967193
0.0477814,0.0224865,1.62504,1.69601,49436000,0.0967193
0.037338,0.0319669,1.56028,1.62504,49604000,0.0967193
0.0305105,0.0462666,1.50852,1.56028,49800000,0.0967193
0.0298463,0.0546413,1.53628,1.50852,50196000,0.0967193
0.0539912,0.0530365,1.59244,1.53628,50396000,0.0967193
0.0639896,0.0546638,1.63971,1.59244,50592000,0.0967193
0.051502,0.0247968,1.65765,1.63971,50792000,0.0967193
0.0277588,0.0321766,1.64037,1.65765,50988000,0.0967193
0.0228883,0,1.57765,1.64037,51320000,0.0967193
0.0389293,0,1.54863,1.57765,51516000,0.0967193
0.0380832,0,1.53884,1.54863,51680000,0.0967193
0.0492928,0,1.54384,1.53884,51880000,0.0967193
0.0515777,0.02743,1.56108,1.54384,52076000,0.0967193
0.0443325,0.027914,1.57605,1.56108,52248000,0.0967193
0.042996,0.0145441,1.58553,1.57605,52440000,0.0967193
0.025816,0.0281059,1.58772,1.58553,52604000,0.0967193
0.0360344,0.0513975,1.58565,1.58772,52772000,0.0967193
0.0490709,0.0435822,1.57974,1.58565,52968000,0.0967193
0.0496487,0.047004,1.57365,1.57974,53168000,0.0967193
0.0623575,0.0289738,1.56866,1.57365,53364000,0.0967193
0.0298294,0.0366593,1.56644,1.56866,53564000,0.0967193
0.0249325,0.062862,1.57521,1.56644,54124000,0.123379
0.0212507,0.0415912,1.57806,1.57521,54520000,0.123379
0.0243871,0.0344061,1.57771,1.57806,54716000,0.123379
0.0242732,0.0303427,1.57701,1.57771,54916000,0.123379
0.0269332,0.0431341,1.5763,1.57701,55112000,0.123379
0.0251983,0.0734986,1.57578,1.5763,55280000,0.199635
0.0295022,0.0244551,1.575,1.57578,55476000,0.199635
0.0814008,0.0476698,1.57581,1.575,55676000,0.199635
0.1814,0.0652913,1.5807,1.57581,55872000,0.509252
0.225881,0.0833477,1.59036,1.5807,56036000,1.21281
0.154823,0.206183,1.60399,1.59036,56204000,1.21281
0.0667214,0.309946,1.60823,1.60399,56400000,1.85504
0.181562,0.444364,1.59433,1.60823,56600000,3.63189
0.364873,0.559309,1.57773,1.59433,56796000,4.90605
0.500384,0.632722,1.57799,1.57773,56996000,5.72361
0.57277,0.790557,1.587,1.57799,57192000,7.16947
0.824768,0.847993,1.59209,1.587,57392000,7.18473
1.01224,0.909154,1.59084,1.59209,57588000,7.18473
1.12425,0.944526,1.58623,1.59084,57788000,7.18473
0.998209,0.965617,1.58123,1.58623,57984000,7.18473
1.10028,0.916744,1.57627,1.58123,58184000,7.18473
0.959686,0.947309,1.57364,1.57627,58380000,7.18473
0.880305,0.926476,1.57279,1.57364,58580000,7.18473
0.863811,0.736095,1.57157,1.57279,58776000,7.18473
0.684544,0.92527,1.5707,1.57157,58940000,7.18473
0.872312,0.906928,1.5717,1.5707,59140000,7.18473
0.909536,0.835202,1.57308,1.5717,59336000,7.18473
0.736525,0.959401,1.57288,1.57308,59504000,7.18473
0.996334,0.775897,1.57009,1.57288,59700000,7.18473
0.891375,0.813589,1.56947,1.57009,59864000,7.18473
1.11206,0.914125,1.57033,1.56947,60032000,7.18473
1.05382,0.867786,1.57033,1.57033,60228000,7.18473
0.910257,0.78665,1.56908,1.57033,60432000,7.18473
0.689708,0.627145,1.56706,1.56908,60624000,7.18473
0.703409,0.592773,1.56529,1.56706,60788000,7.18473
0.546346,0.632366,1.56354,1.56529,60956000,7.18473
0.627443,0.483109,1.56147,1.56354,61152000,7.18473
0.49555,0.451899,1.55941,1.56147,61316000,7.18473
0.439812,0.494248,1.55711,1.55941,61484000,7.18473
0.512424,0.402745,1.55374,1.55711,61680000,7.18473
0.388837,0.379802,1.54959,1.55374,61844000,7.18473
0.361341,0.39504,1.54363,1.54959,62012000,7.18473
0.374337,0.310419,1.5345,1.54363,62208000,7.18473
0.22725,0.375956,1.52639,1.5345,62372000,7.18473
0.323755,0.38547,1.51302,1.52639,62576000,7.18473
0.493602,0.346196,1.49502,1.51302,62768000,7.18473
0.546833,0.285,1.46878,1.49502,62968000,7.18473
0.461056,0.210389,1.41452,1.46878,63164000,7.18473
0.344219,0.336444,1.34934,1.41452,63332000,7.18473
0.459688,0.276914,1.25663,1.34934,63528000,7.18473
0.437713,0.290991,1.17274,1.25663,63692000,7.18473
0.315405,0.426304,1.08518,1.17274,63860000,7.18473
0.176462,0.376063,0.981928,1.08518,64056000,7.18473
0.100664,0.549219,0.874076,0.981928,64220000,7.18473
0.176672,0.642639,0.725667,0.874076,64420000,8.38546
0.361629,0.628396,0.572563,0.725667,64616000,10.1915
0.488289,0.828062,0.440324,0.572563,64784000,12.5343
0.903925,0.770063,0.303619,0.440324,64980000,12.5343
0.887253,0.771042,0.207011,0.303619,65144000,12.5343
0.951828,0.968124,0.133076,0.207011,65312000,12.5343
1.14808,0.972618,0.0849174,0.133076,65508000,12.5343
1.0063,0.954279,0.0601837,0.0849174,65708000,12.5343
0.906902,0.944878,0.0626947,0.0601837,65904000,12.5343
0.995751,0.929261,0.0696167,0.0626947,66104000,12.5343
0.735357,0.746747,0.0840609,0.0696167,66300000,12.5343
0.842688,0.977553,0.0921219,0.0840609,66464000,12.5343
0.906313,0.936918,0.0948286,0.0921219,66664000,12.5343
0.791134,0.956074,0.09391,0.0948286,66860000,12.5343
0.971466,0.961434,0.0636664,0.09391,67060000,12.5343
1.10144,0.822916,0.0561276,0.0636664,67256000,12.5343
0.949867,0.913635,0.0997961,0.0561276,67424000,12.5343
1.14351,0.740422,0.123152,0.0997961,67620000,12.5343
0.814364,0.835142,0.126768,0.123152,67784000,12.5343
0.865203,0.755126,0.122275,0.126768,67984000,12.5343
0.762203,0.620988,0.113702,0.122275,68180000,12.5343
0.67517,0.666722,0.10639,0.113702,68348000,12.5343
0.596257,0.602311,0.0829801,0.10639,68544000,12.5343
0.52162,0.54546,0.0369242,0.0829801,68744000,12.5343
0.390338,0.537043,0.0559015,0.0369242,68940000,12.5343
0.413998,0.539313,0.0655727,0.0559015,69140000,12.5343
0.418605,0.447179,0.0473456,0.0655727,69336000,12.5343
0.566422,0.562581,0.081305,0.0473456,69500000,12.5343
0.660379,0.538716,0.174444,0.081305,69700000,12.5343
0.58788,0.427673,0.269104,0.174444,69896000,12.5343
0.626729,0.581887,0.301393,0.269104,70064000,12.5343
0.612362,0.567745,0.305444,0.301393,70260000,12.5343
0.535045,0.590525,0.338966,0.305444,70460000,12.5343
0.395817,0.503624,0.42317,0.338966,70656000,12.5343
0.470235,0.661312,0.526437,0.42317,70820000,12.5343
0.650234,0.759153,0.660905,0.526437,71020000,12.5343
0.666844,0.712951,0.74665,0.660905,71216000,12.5343
0.806104,0.940926,0.781824,0.74665,71384000,12.5343
1.06891,0.800075,0.802023,0.781824,71580000,12.5343
0.980899,0.861359,0.817818,0.802023,71744000,12.5343
1.02609,0.985026,0.828255,0.817818,71916000,12.5343
1.09034,0.979659,0.82983,0.828255,72108000,12.5343
0.992209,0.96144,0.820707,0.82983,72308000,12.5343
0.909978,0.952603,0.805196,0.820707,72504000,12.5343
0.94566,0.935377,0.791873,0.805196,72704000,12.5343
0.947502,0.986809,0.785176,0.791873,72900000,12.5343
0.948585,0.962753,0.784494,0.785176,73100000,12.5343
0.809784,0.80596,0.78758,0.784494,73296000,12.5343
0.932367,0.992683,0.790958,0.78758,73460000,12.5343
0.988974,0.968821,0.794115,0.790958,73660000,12.5343
0.841882,0.819229,0.795044,0.794115,73856000,12.5343
0.960544,0.987712,0.794358,0.795044,74024000,12.5343
1.02567,0.967863,0.792393,0.794358,74220000,12.5343
1.01918,0.974274,0.789797,0.792393,74420000,12.5343
0.865496,1.01082,0.787583,0.789797,74616000,12.5343
1.01856,0.976654,0.786225,0.787583,74820000,12.5343
1.0195,1.0249,0.785887,0.786225,75012000,12.5343
1.00498,0.994373,0.786071,0.785887,75212000,12.5343
1.00565,0.987715,0.78627,0.786071,75408000,12.5343
1.01007,0.981203,0.786245,0.78627,75608000,12.5343
0.992523,0.823672,0.785719,0.786245,75804000,12.5343
0.803327,0.857687,0.78486,0.785719,75968000,12.5343
0.823811,0.994092,0.783848,0.78486,76136000,12.5343
1.03637,1.03389,0.782748,0.783848,76332000,12.5343
1.02847,0.97056,0.782096,0.782748,76532000,12.5343
1.01952,0.993755,0.782071,0.782096,76728000,12.5343
1.01112,0.988885,0.782648,0.782071,76928000,12.5343
0.994816,0.795561,0.783579,0.782648,77124000,12.5343
0.799192,0.83146,0.7856,0.783579,77288000,12.5343
0.796767,0.969411,0.788043,0.7856,77456000,12.5343
0.991891,0.827767,0.789898,0.788043,77652000,12.5343
0.799933,0.849433,0.790417,0.789898,77816000,12.5343
0.789674,0.98638,0.790122,0.790417,77984000,12.5343
0.981491,0.804138,0.7896,0.790122,78180000,12.5343
0.779232,0.823176,0.788932,0.7896,78344000,12.5343
0.929428,0.980746,0.788218,0.788932,78512000,12.5343
0.835352,0.984592,0.787556,0.788218,78708000,12.5343
0.994697,0.986085,0.787047,0.787556,78908000,12.5343
